,name,size,terrace,age_1,ku,room,Living,Dining,Kitchen,Service,No.ofRooms,price
16085,クレストフォルム大井町サウステラス,57.95,5,2188 days,品川,2,1,1,1,0,5,5250
16086,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16087,五反田リーラハイタウン,60.5,6.2,14182 days,品川,3,0,1,1,0,5,5250
16088,Ｊ．Ｐ．Ｃ恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
16089,五反田リーラハイタウン,60.5,6.2,14182 days,品川,3,0,1,1,0,5,5250
16090,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
16091,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16092,JPC恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16093,J.P.C恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16094,ライオンズステーションプラザ大島,100.91,17.44,11138 days,江東,4,1,1,1,0,7,5250
16095,ＪＰＣ恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
16096,ライオンズステーションプラザ大島,100.91,17.44,11138 days,江東,4,1,1,1,0,7,5250
16097,パークハウス多摩川南五番館,87.19,18.78,9981 days,大田,2,1,1,1,0,5,5250
16098,ライオンズステーションプラザ大島,100.91,17.44,11138 days,江東,4,1,1,1,0,7,5250
16099,J.P.C恵比寿マンション303号室,54.6,12.7,17773 days,渋谷,1,1,1,1,1,5,5250
16100,ＪＰＣ恵比寿マンション,54.6,12,17773 days,渋谷,1,1,1,1,0,4,5250
16101,グリーンパーク銀座デ・プレ,50.11,3.66,5871 days,中央,1,1,1,1,0,4,5250
16102,ＪＰＣ恵比寿マンション,54.6,12.7,17773 days,渋谷,1,1,1,1,0,4,5250
16103,ゲートシティ大崎サウスパークタワー,50,10,8094 days,品川,1,1,1,1,0,4,5250
16104,藤和杉並富士見ケ丘ホームズ,75.69,-,13086 days,杉並,3,1,1,1,0,6,5280
16105,メイゾン豊玉,104.87,1,13664 days,練馬,5,1,1,1,0,8,5280
16106,プラウドジェム渋谷神南,35.3,3.58,6146 days,渋谷,1,0,0,0,0,1,5280
16107,ダイアパレス三軒茶屋,49.34,6.36,15309 days,世田谷,2,1,1,1,0,5,5280
16108,ライオンズガーデン練馬南,90.51,16.3,6633 days,練馬,3,1,1,1,0,6,5280
